Date,Open,High,Low,Close,Adj Close,Volume
2018-01-22,177.300003,179.440002,170.059998,171.509995,168.973175,164466200
2018-01-29,170.160004,170.160004,160.100006,160.500000,158.126022,262992100
2018-02-05,159.100006,163.880005,150.240005,156.410004,154.096542,317654000
2018-02-12,158.500000,174.820007,157.509995,172.429993,170.572189,225336900
2018-02-19,172.050003,175.649994,171.009995,175.500000,173.609100,136206400
2018-02-26,176.350006,180.619995,172.449997,176.210007,174.311478,202128400
2018-03-05,175.210007,180.000000,174.270004,179.979996,178.040833,139852700
2018-03-12,180.289993,183.500000,177.619995,178.020004,176.101959,155417500
2018-03-19,177.320007,177.470001,164.940002,164.940002,163.162888,171953900
2018-03-26,168.070007,175.149994,165.190002,167.779999,165.972290,158530800
2018-04-02,166.639999,174.229996,164.470001,168.380005,166.565842,164408800
2018-04-09,169.880005,175.839996,169.850006,174.729996,172.847412,127871500
2018-04-16,175.029999,178.940002,165.429993,165.720001,163.934479,169141800
2018-04-23,166.830002,166.919998,160.630005,162.320007,160.571121,162208400
2018-04-30,162.130005,184.250000,161.839996,183.830002,181.849350,252805700
2018-05-07,185.179993,190.369995,183.669998,188.589996,186.558060,148266900
2018-05-14,189.009995,189.529999,185.100006,186.309998,185.013336,99248800
2018-05-21,188.000000,189.649994,185.759995,188.580002,187.267532,94394900
2018-05-28,187.600006,190.259995,186.139999,190.240005,188.915985,92129900
2018-06-04,191.639999,194.199997,189.770004,191.699997,190.365814,116769800
2018-06-11,191.350006,192.880005,188.259995,188.839996,187.525711,140187300
2018-06-18,187.880005,189.220001,183.449997,184.919998,183.632996,125604400
2018-06-25,183.399994,187.279999,180.729996,185.110001,183.821686,121620500
2018-07-02,183.820007,188.429993,183.419998,187.970001,186.661789,65775500
2018-07-09,189.500000,191.839996,187.610001,191.330002,189.998398,85082200
2018-07-16,191.520004,192.649994,189.199997,191.440002,190.107635,87934000
2018-07-23,190.679993,195.960007,189.559998,190.979996,189.650818,94497200
2018-07-30,191.899994,208.740005,189.070007,207.990005,206.542450,224189600
2018-08-06,208.000000,209.779999,204.520004,207.529999,206.085648,121618700
2018-08-13,207.699997,217.949997,207.699997,217.580002,216.823471,139352100
2018-08-20,218.100006,219.179993,213.839996,216.160004,215.408401,112825200
2018-08-27,217.149994,228.869995,216.330002,227.630005,226.838531,162690600
2018-09-03,228.410004,229.669998,220.710007,221.300003,220.530533,132632900
2018-09-10,220.949997,228.350006,216.470001,223.839996,223.061691,198249900
2018-09-17,222.149994,222.949997,215.300003,217.660004,216.903198,218746100
2018-09-24,216.820007,226.440002,216.630005,225.740005,224.955093,129343100
2018-10-01,227.949997,233.470001,220.580002,224.289993,223.510132,142666300
2018-10-08,222.210007,227.270004,212.320007,222.110001,221.337723,192007800
2018-10-15,221.160004,222.990005,213.000000,219.309998,218.547455,148520400
2018-10-22,219.789993,224.229996,212.669998,216.300003,215.547913,185599600
2018-10-29,219.190002,222.360001,205.429993,207.479996,206.758575,270606300
2018-11-05,204.300003,210.119995,198.169998,204.470001,203.759048,191199400
2018-11-12,199.000000,199.850006,185.929993,193.529999,193.529999,242226500
2018-11-19,190.000000,190.699997,172.100006,172.289993,172.289993,164498700
2018-11-26,174.240005,182.800003,170.259995,178.580002,178.580002,213749900
2018-12-03,184.460007,184.940002,168.300003,168.490005,168.490005,167526800
2018-12-10,165.000000,172.570007,163.330002,165.479996,165.479996,217537700
2018-12-17,165.449997,168.350006,149.630005,150.729996,150.729996,287694300
2018-12-24,148.149994,158.520004,146.589996,156.229996,156.229996,191160200
2018-12-31,158.529999,159.360001,142.000000,148.259995,148.259995,221962500
2019-01-07,148.699997,154.529999,145.899994,152.289993,152.289993,203706100
2019-01-14,150.850006,157.880005,149.220001,156.820007,156.820007,155292000
2019-01-21,156.410004,156.729996,152.619995,153.300003,153.300003,30278100
2019-01-22,156.410004,156.729996,152.619995,153.300003,153.300003,30393970
